20, 10, 20, 3, 3, 5, 5, 5, 5, 3, 25, 5, 10, 19, 19, 10, 40, 3, 10, 10, 10, 10, 700, 900
2200, 1300, 600, 1, False, 2, Omega, True, False, False, 98, True, 120
nombre,tag,cantidad,largo,ancho,grueso
Costados,Costados,2,2082,580,19
Bases,Bases,2,1222,580,19
Altillo,,1,1222,580,19
Balda Inferior,Baldas,2,1222,575,19
Trasera Inferior,Traseras,1,1800,1260,10
Trasera Superior,Traseras,1,282,1260,10
DM Puertas,DM,2,2060,617,30
DM Tapajuntas,DM,2,2225,70,10
DM Cornisa,DM,1,1250,54,10
DM Rodapie,,1,1250,120,10
